프로세스 시작 시간: 2024-12-02 07:40:28
모델 로드 완료 시간: 2.06초
배치 1 처리 시간: 6.475553750991821초
배치 2 처리 시간: 5.987804174423218초
배치 3 처리 시간: 5.712111711502075초
배치 4 처리 시간: 5.802009105682373초
배치 5 처리 시간: 5.838501691818237초
배치 6 처리 시간: 5.744536399841309초
배치 7 처리 시간: 5.727751731872559초
배치 8 처리 시간: 5.955000638961792초
배치 9 처리 시간: 5.773411273956299초
배치 10 처리 시간: 5.7808918952941895초
배치 11 처리 시간: 5.86332631111145초
배치 12 처리 시간: 5.957608222961426초
배치 13 처리 시간: 5.764712810516357초
배치 14 처리 시간: 5.878445863723755초
배치 15 처리 시간: 5.841970205307007초
배치 16 처리 시간: 5.757093667984009초
배치 17 처리 시간: 5.854912281036377초
배치 18 처리 시간: 5.726835250854492초
배치 19 처리 시간: 5.70669412612915초
배치 20 처리 시간: 5.744314193725586초
배치 21 처리 시간: 5.724812269210815초
배치 22 처리 시간: 5.74023962020874초
배치 23 처리 시간: 5.8312132358551025초
배치 24 처리 시간: 5.858666896820068초
배치 25 처리 시간: 5.638476848602295초
전체 실행 시간: 153.11초
